prov,votes,cpc,lpc,ndp,gpc,bq,other
10,217336,61562,82345,70866,1955,0,607
11,79045,32548,32380,12135,1895,0,87
12,451349,165819,130578,136619,17807,0,527
13,388739,170420,87872,115831,12316,0,2299
24,3801701,627965,538458,1630877,80402,891432,32589
35,5531503,2457483,1400313,1417442,207444,0,48845
46,491216,262944,81419,126637,17737,0,2485
47,455098,256170,38743,147214,12047,0,925
48,1395894,932770,129311,234731,73054,0,26021
59,1872643,853281,251276,609105,143782,0,15231
60,16057,5422,5290,2308,3037,0,0
61,15577,5001,2872,7140,477,0,87
62,7875,3930,2260,1525,160,0,0
