id,prov,name,votes,cpc,ndp,lpc,bq,gpc,other
10001,10,Avalon,42086,4670,6075,23528,0,228,7585
10002,10,Bonavista--Burin--Trinity,35092,3534,2557,28704,0,297,0
10003,10,Coast of Bays--Central--Notre Dame,35448,6479,2175,26523,0,271,0
10004,10,Labrador,12373,1716,1779,8878,0,0,0
10005,10,Long Range Mountains,41824,5085,4739,30889,0,1111,0
10006,10,St. John's East ,44880,2938,20328,20974,0,500,140
10007,10,St. John's South--Mount Pearl,44801,2047,16467,25922,0,365,0
11001,11,Cardigan,22485,3632,2503,14621,0,1434,295
11002,11,Charlottetown,21165,3136,4897,11910,0,1222,0
11003,11,Egmont,21362,6185,4097,10521,0,559,0
11004,11,Malpeque,22472,3947,2509,13950,0,2066,0
12001,12,Cape Breton--Canso,43237,6246,3547,32163,0,1281,0
12002,12,Central Nova,44263,11418,4532,25909,0,1834,570
12003,12,Cumberland--Colchester,46332,12257,2647,29527,0,1650,251
12004,12,Dartmouth--Cole Harbour,52270,7331,12757,30407,0,1775,0
12005,12,Halifax,53032,4564,19162,27431,0,1745,130
12006,12,Halifax West,50079,7837,5894,34377,0,1971,0
12007,12,Kings--Hants,46686,8677,2998,33026,0,1569,416
12008,12,Sackville--Preston--Chezzetcook,48301,7186,16613,23161,0,1341,0
12009,12,South Shore--St. Margarets,52775,11905,8883,30045,0,1534,408
12010,12,Sydney--Victoria,40974,4360,5351,29995,0,1026,242
12011,12,West Nova,45679,11916,3084,28775,0,1904,0
13001,13,Acadie--Bathurst,50963,3852,20079,25845,0,1187,0
13002,13,Beauséjour,52936,6017,8009,36534,0,2376,0
13003,13,Fredericton,46722,13280,4622,23016,0,5804,0
13004,13,Fundy Royal,46820,17361,8204,19136,0,1823,296
13005,13,Madawaska--Restigouche,37306,6151,9670,20778,0,707,0
13006,13,Miramichi--Grand Lake,36364,12476,5588,17202,0,1098,0
13007,13,Moncton--Riverview--Dieppe,52041,11168,8420,30054,0,2399,0
13008,13,New Brunswick Southwest,37926,14625,4768,16656,0,1877,0
13009,13,Saint John--Rothesay,42281,12915,7411,20634,0,1321,0
13010,13,Tobique--Mactaquac,38427,14225,4334,17909,0,1959,0
24001,24,Abitibi--Baie-James--Nunavik--Eeyou,34518,3211,12778,11094,6398,779,258
24002,24,Abitibi--Témiscamingue,49729,3425,20636,14733,9651,859,425
24003,24,Ahuntsic-Cartierville,55567,4051,16684,26026,7346,1175,285
24004,24,Alfred-Pellan,55169,6259,13225,24557,9836,1089,203
24005,24,Argenteuil--La Petite-Nation,51066,5680,12650,22093,9525,1118,0
24006,24,Avignon--La Mitis--Matane--Matapédia,36356,2228,7340,14378,7641,365,4404
24007,24,Beauce,55882,32910,5443,12442,4144,943,0
24008,24,Beauport--Limoilou,50558,15461,12881,12854,7467,1220,675
24009,24,Bécancour--Nicolet--Saurel,52205,5955,11531,12666,20871,1182,0
24010,24,Bellechasse--Les Etchemins--Lévis,62598,31872,8516,12961,7217,2032,0
24011,24,Beloeil--Chambly,66438,6173,20641,19494,18387,1498,245
24012,24,Berthier--Maskinongé,54406,5548,22942,11032,14037,847,0
24013,24,Thérèse-De Blainville,56248,7000,14022,18281,15238,1352,355
24014,24,Pierre-Boucher--Les Patriotes--Verchères,59390,6079,14454,16794,17007,5056,0
24015,24,Bourassa,41129,3819,6144,22234,7049,886,997
24016,24,Brome--Missisquoi,58675,6724,14383,25744,10252,1377,195
24017,24,Brossard--Saint-Lambert,57260,7215,14075,28818,6071,1081,0
24018,24,Rimouski-Neigette--Témiscouata--Les Basques,44946,3363,19374,12594,8673,669,273
24019,24,Charlesbourg--Haute-Saint-Charles,58256,24608,11690,13525,7177,1256,0
24020,24,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,50456,16903,9306,13556,9650,859,182
24021,24,Châteauguay--Lacolle,51782,5805,11986,20245,12615,982,149
