id,prov,name,votes,cpc,ndp,lpc,bq,gpc,other
24014,24,Pierre-Boucher--Les Patriotes--Verchères,53255,4482,23882,5262,18212,1125,291
24015,24,Bourassa,37913,3115,12268,14585,7212,589,143
24016,24,Brome--Missisquoi,52538,6256,22405,11588,11171,1120,0
24017,24,Brossard--Saint-Lambert,48986,6283,18031,16046,7812,740,76
24018,24,Rimouski-Neigette--Témiscouata--Les Basques,42716,6218,18360,4101,13170,867,0
24019,24,Charlesbourg--Haute-Saint-Charles,53779,16288,24197,3511,8756,837,189
24020,24,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,47171,10852,18040,2516,14932,805,25
24021,24,Châteauguay--Lacolle,45393,5460,22116,4630,12216,866,105
24022,24,Chicoutimi--Le Fjord,43096,11016,16237,2480,12418,655,288
24023,24,Compton--Stanstead,49772,5900,23531,5970,13153,1210,5
24024,24,Dorval--Lachine--LaSalle,45512,6441,18712,13382,5250,1364,361
24025,24,Drummond,47420,7555,24489,3979,10410,987,0
24026,24,Gaspésie--Les Îles-de-la-Madeleine,35332,6738,10186,6021,11684,702,0
24027,24,Gatineau,51335,4110,31894,7082,7664,586,0
24028,24,Hochelaga,47231,3403,22425,5544,14529,790,547
24029,24,Honoré-Mercier,45019,5857,15856,15083,7205,726,297
24030,24,Hull--Aylmer,50278,5050,29552,10304,4362,1012,0
24031,24,Joliette,50750,4919,23813,3244,16751,2025,0
24032,24,Jonquière,46655,15926,19829,1264,8985,601,52
24033,24,La Pointe-de-l'Île,49685,3801,23615,5016,16081,936,238
24034,24,La Prairie,50653,4786,25308,6696,13034,735,91
24035,24,Lac-Saint-Jean,54290,22946,17446,1766,11403,729,0
24036,24,Lac-Saint-Louis,54261,15434,16312,18502,1693,2319,0
24037,24,LaSalle--Émard--Verdun,48865,4759,22071,8939,11453,1248,392
24038,24,Laurentides--Labelle,56586,5246,24800,7169,17799,1423,149
24039,24,Laurier--Sainte-Marie,51098,2018,23750,5453,17855,1349,677
24040,24,Laval--Les Îles,44642,7333,21069,9207,5755,794,483
